Series_Title,Certificate,Runtime,Genre,Meta_score,No_of_Votes,IMDB_Rating
The Big Lebowski,R,117,"Comedy, Crime, Sport",71,732620,8.1
Fa yeung nin wah,U,98,"Drama, Romance",85,124383,8.1
Trainspotting,A,93,Drama,83,634716,8.1
Fargo,A,98,"Crime, Drama, Thriller",85,617444,8.1
Underground,,170,"Comedy, Drama, War",,55220,8.1
La haine,UA,98,"Crime, Drama",,150345,8.1
Dilwale Dulhania Le Jayenge,U,189,"Drama, Romance",,63516,8.1
Before Sunrise,R,101,"Drama, Romance",77,272291,8.1
Trois couleurs: Rouge,U,99,"Drama, Mystery, Romance",100,90729,8.1
Chung Hing sam lam,U,102,"Comedy, Crime, Drama",77,63122,8.1
Jurassic Park,UA,127,"Action, Adventure, Sci-Fi",68,867615,8.1
In the Name of the Father,UA,133,"Biography, Crime, Drama",84,156842,8.1
Ba wang bie ji,R,171,"Drama, Music, Romance",,25088,8.1
Dà hóng denglong gaogao guà,PG,125,"Drama, History, Romance",,29662,8.1
Dead Poets Society,U,128,"Comedy, Drama",79,425457,8.1
Stand by Me,U,89,"Adventure, Drama",75,363401,8.1
Platoon,A,120,"Drama, War",92,381222,8.1
"Paris, Texas",U,145,Drama,78,91188,8.1
Kaze no tani no Naushika,U,117,"Animation, Adventure, Fantasy",86,150924,8.1
The Thing,A,109,"Horror, Mystery, Sci-Fi",57,371271,8.1
Pink Floyd: The Wall,UA,95,"Drama, Fantasy, Music",47,76081,8.1
Fitzcarraldo,R,158,"Adventure, Drama",,31595,8.1
Fanny och Alexander,A,188,Drama,100,57784,8.1
Blade Runner,UA,117,"Action, Sci-Fi, Thriller",84,693827,8.1
The Elephant Man,UA,124,"Biography, Drama",78,220078,8.1
Life of Brian,R,94,Comedy,77,367250,8.1
The Deer Hunter,A,183,"Drama, War",86,311361,8.1
Rocky,U,120,"Drama, Sport",70,518546,8.1
Network,UA,121,Drama,83,144911,8.1
Barry Lyndon,PG,185,"Adventure, Drama, History",89,149843,8.1
Zerkalo,G,107,"Biography, Drama",,40081,8.1
Chinatown,UA,130,"Drama, Mystery, Thriller",92,294230,8.1
Paper Moon,U,102,"Comedy, Crime, Drama",77,42285,8.1
Viskningar och rop,A,91,Drama,,30206,8.1
Solaris,PG,167,"Drama, Mystery, Sci-Fi",90,81021,8.1
Le samouraï,GP,105,"Crime, Drama, Mystery",,45434,8.1
Cool Hand Luke,A,127,"Crime, Drama",92,161984,8.1
Persona,,85,"Drama, Thriller",86,103191,8.1
Andrei Rublev,R,205,"Biography, Drama, History",,46947,8.1
La battaglia di Algeri,,121,"Drama, War",96,53089,8.1
El ángel exter.0ador,,95,"Drama, Fantasy",,29682,8.1
What Ever Happened to Baby Jane?,Passed,134,"Drama, Horror, Thriller",75,50058,8.1
Sanjuro,U,96,"Action, Comedy, Crime",,33044,8.1
The Man Who Shot Liberty Valance,,123,"Drama, Western",94,68827,8.1
Ivanovo detstvo,,95,"Drama, War",,31728,8.1
Jungfrukällan,A,89,Drama,,26697,8.1
