Series_Title,Certificate,Runtime,Genre,Meta_score,No_of_Votes,IMDB_Rating
Barton Fink,U,116,"Comedy, Drama, Thriller",69,113240,7.7
Miller's Crossing,R,115,"Crime, Drama, Thriller",66,125822,7.7
Who Framed Roger Rabbit,U,104,"Animation, Adventure, Comedy",83,182009,7.7
Spoorloos,,107,"Mystery, Thriller",,33982,7.7
Withnail & I,R,107,"Comedy, Drama",84,40396,7.7
The Last Emperor,U,163,"Biography, Drama, History",76,94326,7.7
Empire of the Sun,U,153,"Action, Drama, History",62,115677,7.7
Der Name der Rose,R,130,"Crime, Drama, Mystery",54,102031,7.7
Blue Velvet,A,120,"Drama, Mystery, Thriller",76,181285,7.7
The Purple Rose of Cairo,U,82,"Comedy, Fantasy, Romance",75,47102,7.7
After Hours,UA,97,"Comedy, Crime, Drama",90,59635,7.7
Zelig,PG,79,Comedy,,39881,7.7
The Verdict,U,129,Drama,77,36096,7.7
Star Trek II: The Wrath of Khan,U,113,"Action, Adventure, Sci-Fi",67,112704,7.7
First Blood,A,93,"Action, Adventure",61,226541,7.7
Ordinary People,U,124,Drama,86,47099,7.7
Airplane!,U,88,Comedy,78,214882,7.7
Rupan sansei: Kariosutoro no shiro,U,100,"Animation, Adventure, Family",71,27014,7.7
Halloween,A,91,"Horror, Thriller",87,233106,7.7
Le locataire,R,126,"Drama, Thriller",71,39889,7.7
Love and Death,PG,85,"Comedy, War",89,36037,7.7
The Taking of Pelham One Two Three,U,104,"Action, Crime, Thriller",68,26729,7.7
Blazing Saddles,A,93,"Comedy, Western",73,125993,7.7
Serpico,A,130,"Biography, Crime, Drama",87,109941,7.7
Enter the Dragon,A,102,"Action, Crime, Drama",83,96561,7.7
Deliverance,U,109,"Adventure, Drama, Thriller",80,98740,7.7
The French Connection,A,104,"Action, Crime, Drama",94,110075,7.7
Dirty Harry,A,102,"Action, Crime, Thriller",90,143292,7.7
Where Eagles Dare,U,158,"Action, Adventure, War",63,51913,7.7
The Odd Couple,G,105,Comedy,86,31572,7.7
The Dirty Dozen,,150,"Action, Adventure, War",73,67183,7.7
Belle de jour,A,100,"Drama, Romance",,40274,7.7
A Man for All Seasons,U,120,"Biography, Drama, History",72,31222,7.7
Repulsion,,105,"Drama, Horror, Thriller",91,48883,7.7
Zulu,U,138,"Drama, History, War",77,35999,7.7
Goldfinger,A,110,"Action, Adventure, Thriller",87,174119,7.7
The Birds,A,119,"Drama, Horror, Mystery",90,171739,7.7
Cape Fear,Passed,106,"Drama, Thriller",76,26457,7.7
Peeping Tom,,101,"Drama, Horror, Thriller",,31354,7.7
The Magnificent Seven,Approved,128,"Action, Adventure, Western",74,87719,7.7
Les yeux sans visage,,90,"Drama, Horror",90,27620,7.7
Invasion of the Body Snatchers,Approved,80,"Drama, Horror, Sci-Fi",92,44839,7.7
Rebel Without a Cause,PG-13,111,Drama,89,83363,7.7
The Ladykillers,,91,"Comedy, Crime",91,26464,7.7
Sabrina,Passed,113,"Comedy, Drama, Romance",72,59415,7.7
The Quiet Man,Passed,129,"Comedy, Drama, Romance",,34677,7.7
The Day the Earth Stood Still,U,92,"Drama, Sci-Fi",,76315,7.7
The African Queen,PG,105,"Adventure, Drama, Romance",91,71481,7.7
Gilda,Approved,110,"Drama, Film-Noir, Romance",,27991,7.7
Fantasia,G,125,"Animation, Family, Fantasy",96,88662,7.7
The Invisible Man,TV-PG,71,"Horror, Sci-Fi",87,30683,7.7
Dark Waters,PG-13,126,"Biography, Drama, History",73,60408,7.6
Searching,U/A,102,"Drama, Mystery, Thriller",71,140840,7.6
Once Upon a Time... in Hollywood,A,161,"Comedy, Drama",83,551309,7.6
Nelyubov,R,127,Drama,86,29765,7.6
The Florida Project,A,111,Drama,92,95181,7.6
Just Mercy,A,137,"Biography, Crime, Drama",68,46739,7.6
Gifted,PG-13,101,Drama,60,99643,7.6
The Peanut Butter Falcon,PG-13,97,"Adventure, Comedy, Drama",70,66346,7.6
Victoria,,138,"Crime, Drama, Romance",77,52903,7.6
Mustang,PG-13,97,Drama,83,35785,7.6
Guardians of the Galaxy Vol. 2,UA,136,"Action, Adventure, Comedy",67,569974,7.6
Baby Driver,UA,113,"Action, Crime, Drama",86,439406,7.6
Only the Brave,UA,134,"Action, Biography, Drama",72,58371,7.6
Bridge of Spies,UA,142,"Drama, History, Thriller",81,287659,7.6
Incredibles 2,UA,118,"Animation, Action, Adventure",80,250057,7.6
Moana,U,107,"Animation, Adventure, Comedy",81,272784,7.6
Sicario,A,121,"Action, Crime, Drama",82,371291,7.6
Creed,A,133,"Drama, Sport",82,247666,7.6
Leviafan,R,140,"Crime, Drama",92,49397,7.6
Hell or High Water,R,102,"Action, Crime, Drama",88,204175,7.6
Philomena,PG-13,98,"Biography, Comedy, Drama",77,94212,7.6
Dawn of the Planet of the Apes,UA,130,"Action, Adventure, Drama",79,411599,7.6
El cuerpo,,112,"Mystery, Thriller",,57549,7.6
Serbuan maut,A,101,"Action, Thriller",73,190531,7.6
End of Watch,A,109,"Action, Crime, Drama",68,228132,7.6
Kari-gurashi no Arietti,U,94,"Animation, Adventure, Family",80,80939,7.6
A Star Is Born,UA,136,"Drama, Music, Romance",88,334312,7.6
True Grit,PG-13,110,"Drama, Western",80,311822,7.6
Hævnen,R,118,"Drama, Romance",65,38491,7.6
Despicable Me,U,95,"Animation, Comedy, Crime",72,500851,7.6
50/50,R,100,"Comedy, Drama, Romance",72,315426,7.6
Kick-Ass,UA,117,"Action, Comedy, Crime",66,524081,7.6
Celda 211,,113,"Action, Adventure, Crime",,63882,7.6
Moneyball,PG-13,133,"Biography, Drama, Sport",87,369529,7.6
La piel que habito,R,120,"Drama, Horror, Thriller",70,138959,7.6
Zombieland,A,88,"Adventure, Comedy, Fantasy",73,520041,7.6
Die Welle,,107,"Drama, Thriller",,102742,7.6
Sherlock Holmes,PG-13,128,"Action, Adventure, Mystery",57,583158,7.6
The Blind Side,UA,129,"Biography, Drama, Sport",53,293266,7.6
The Visitor,PG-13,104,Drama,79,41544,7.6
Seven Pounds,UA,123,Drama,36,286770,7.6
Eastern Promises,R,100,"Action, Crime, Drama",82,227760,7.6
Stardust,U,127,"Adventure, Family, Fantasy",66,255036,7.6
The Secret of Kells,,71,"Animation, Adventure, Family",81,31779,7.6
Inside Man,R,129,"Crime, Drama, Mystery",76,339757,7.6
Gone Baby Gone,R,114,"Crime, Drama, Mystery",72,250590,7.6
La Vie En Rose,PG-13,140,"Biography, Drama, Music",66,82781,7.6
Huo Yuan Jia,PG-13,104,"Action, Biography, Drama",70,72863,7.6
The Illusionist,U,110,"Drama, Fantasy, Mystery",68,354728,7.6
Dead Man's Shoes,,90,"Crime, Drama, Thriller",52,49728,7.6
Harry Potter and the Half-Blood Prince,UA,153,"Action, Adventure, Family",78,474827,7.6
300,A,117,"Action, Drama",52,732876,7.6
Match Point,R,124,"Drama, Romance, Thriller",72,206294,7.6
Watchmen,A,162,"Action, Drama, Mystery",56,500799,7.6
Lord of War,R,122,"Action, Crime, Drama",62,294140,7.6
Saw,UA,103,"Horror, Mystery, Thriller",46,379020,7.6
"Synecdoche, New York",R,124,Drama,67,83158,7.6
Mysterious Skin,R,105,Drama,73,65939,7.6
Jeux d'enfants,R,93,"Comedy, Drama, Romance",45,67360,7.6
Un long dimanche de fiançailles,U,133,"Drama, Mystery, Romance",76,70925,7.6
The Station Agent,R,89,"Comedy, Drama",81,67370,7.6
21 Grams,UA,124,"Crime, Drama, Thriller",70,224545,7.6
Boksuneun naui geot,R,129,"Crime, Drama, Thriller",56,62659,7.6
Finding Neverland,U,106,"Biography, Drama, Family",67,198677,7.6
25th Hour,R,135,Drama,68,169708,7.6
The Butterfly Effect,U,113,"Drama, Sci-Fi, Thriller",30,451479,7.6
28 Days Later...,A,113,"Drama, Horror, Sci-Fi",73,376853,7.6
Batoru rowaiaru,,114,"Action, Adventure, Drama",81,169091,7.6
The Royal Tenenbaums,A,110,"Comedy, Drama",76,266842,7.6
Y tu mamá también,A,106,Drama,88,115827,7.6
Harry Potter and the Sorcerer's Stone,U,152,"Adventure, Family, Fantasy",64,658185,7.6
The Others,PG-13,101,"Horror, Mystery, Thriller",74,337651,7.6
Blow,R,124,"Biography, Crime, Drama",52,240714,7.6
Enemy at the Gates,A,131,"Drama, History, War",53,243729,7.6
.0ority Report,A,145,"Action, Crime, Mystery",80,508417,7.6
The Hurricane,R,146,"Biography, Drama, Sport",74,91557,7.6
American Psycho,A,101,"Comedy, Crime, Drama",64,490062,7.6
Lola rennt,UA,81,"Crime, Drama, Thriller",77,188317,7.6
The Thin Red Line,A,170,"Drama, War",78,172710,7.6
Mulan,U,88,"Animation, Adventure, Family",71,256906,7.6
Fear and Loathing in Las Vegas,R,118,"Adventure, Comedy, Drama",41,259753,7.6
Funny Games,A,108,"Crime, Drama, Thriller",69,65058,7.6
Dark City,A,100,"Mystery, Sci-Fi, Thriller",66,187927,7.6
Sleepers,UA,147,"Crime, Drama, Thriller",49,186734,7.6
Lost Highway,A,134,"Mystery, Thriller",52,131101,7.6
Sense and Sensibility,U,136,"Drama, Romance",84,102598,7.6
Die Hard: With a Vengeance,A,128,"Action, Adventure, Thriller",58,364420,7.6
Dead Man,R,121,"Adventure, Drama, Fantasy",62,90442,7.6
The Bridges of Madison County,A,135,"Drama, Romance",69,73172,7.6
Apollo 13,U,140,"Adventure, Drama, History",77,269197,7.6
Trois couleurs: Blanc,U,92,"Comedy, Drama, Romance",88,64390,7.6
Falling Down,R,113,"Action, Crime, Drama",56,171640,7.6
Dazed and Confused,U,102,Comedy,78,165465,7.6
My Cousin Vinny,UA,120,"Comedy, Crime",68,107325,7.6
Omohide poro poro,U,118,"Animation, Drama, Romance",90,27071,7.6
Delicatessen,R,99,"Comedy, Crime",66,80487,7.6
Home Alone,U,103,"Comedy, Family",63,488817,7.6
The Godfather: Part III,A,162,"Crime, Drama",60,359809,7.6
When Harry Met Sally...,UA,95,"Comedy, Drama, Romance",76,195663,7.6
The Little Mermaid,U,83,"Animation, Family, Fantasy",88,237696,7.6
The Naked Gun: From the Files of Police Squad!,U,85,"Comedy, Crime",76,152871,7.6
"Planes, Trains & Automobiles",U,93,"Comedy, Drama",72,124773,7.6
Lethal Weapon,A,109,"Action, Crime, Thriller",68,236894,7.6
Blood Simple,A,99,"Crime, Drama, Thriller",82,87745,7.6
On Golden Pond,UA,109,Drama,68,27650,7.6
Mad Max 2,A,96,"Action, Adventure, Sci-Fi",77,166588,7.6
The Warriors,UA,92,"Action, Crime, Thriller",65,93878,7.6
The Muppet Movie,U,95,"Adventure, Comedy, Family",74,32802,7.6
Escape from Alcatraz,A,112,"Action, Biography, Crime",76,121731,7.6
Watership Down,U,91,"Animation, Adventure, Drama",64,33656,7.6
Midnight Express,A,121,"Biography, Crime, Drama",59,73662,7.6
Close Encounters of the Third Kind,U,138,"Drama, Sci-Fi",90,184966,7.6
The Long Goodbye,A,112,"Comedy, Crime, Drama",87,26337,7.6
Giù la testa,PG,157,"Drama, War, Western",77,30144,7.6
Kelly's Heroes,GP,144,"Adventure, Comedy, War",50,45338,7.6
The Jungle Book,U,78,"Animation, Adventure, Family",65,166409,7.6
Blowup,A,111,"Drama, Mystery, Thriller",82,56513,7.6
A Hard Day's Night,U,87,"Comedy, Music, Musical",96,40351,7.6
Breakfast at Tiffany's,A,115,"Comedy, Drama, Romance",76,166544,7.6
Giant,G,201,"Drama, Western",84,34075,7.6
From Here to Eternity,Passed,118,"Drama, Romance, War",85,43374,7.6
Lifeboat,,97,"Drama, War",78,26471,7.6
The 39 Steps,,86,"Crime, Mystery, Thriller",93,51853,7.6
